name,ediya,sbucks,cafebene,hollys,tom,paik
강남,42,56,24,18,35,18
서초,24,36,22,15,20,8
중구,32,36,11,11,10,4
종로,26,30,11,11,7,5
영등포,26,25,9,10,7,5
송파,22,18,15,9,9,8
마포,25,21,9,9,4,8
광진,19,11,14,7,10,5
강서,31,7,10,6,5,4
서대문,18,17,8,9,6,4
노원,28,7,7,3,6,5
강동,19,9,11,7,3,5
성북,27,9,4,3,3,6
관악,19,6,8,8,5,3
구로,25,8,4,4,3,3
용산,11,12,5,4,6,6
동대문,20,6,8,1,3,4
동작,18,4,6,6,4,3
은평구,19,5,4,6,2,5
양천구,19,8,6,1,3,2
성동구,18,5,4,4,3,4
금천구,15,6,4,4,2,4
중랑구,16,5,7,2,2,1
강북구,14,4,3,0,2,1
도봉구,16,1,3,0,4,0
