상권_코드_명,상권_코드,기준 년 코드,기준_분기_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
가로공원로58길,1000507,2017.6129032258063,2.5483870967741935,2386093.935483871,5.612903225806452,4719298933.645162,1447646474.8709676,547295420.516129,339631020.3548387,725201961.6129032,677317997.7741935,164092447.06451613,150904323.19354838,478927515.16129035,188281773.0967742
가로공원로76가길,1000552,2017.6129032258063,2.5483870967741935,2857454.419354839,6.32258064516129,17559927436.0,4358823685.806452,2136020503.8387096,1291494648.8709676,2207586838.0,3043890894.193548,676625996.0967742,515821509.38709676,2590626701.967742,739036657.8387097
가로공원로80길,1000553,2017.6129032258063,2.5483870967741935,2747248.1612903224,6.064516129032258,14647649935.870968,3583021846.516129,1784815683.2258065,1077605721.3548386,1810364981.2258065,2562523559.193548,564721094.8387097,428556766.1935484,2217694001.903226,618346281.4193548
가마산로61길,1000683,2017.6129032258063,2.5483870967741935,3230116.4516129033,6.612903225806452,6097692289.967742,1769758352.1935484,722771027.0,448129869.7741935,859439602.1612903,935614365.1935484,214984758.93548387,194366004.5483871,700817677.032258,251810633.12903225
가산로3길,1000654,2017.6129032258063,2.5483870967741935,2863282.870967742,6.612903225806452,6119611851.4838705,1540867160.064516,778854716.0967742,501504580.87096775,736484830.7096775,1020907921.516129,274317573.7419355,198580142.9032258,800308053.0645162,267786872.51612905
가산로5길,1000655,2017.6129032258063,2.5483870967741935,2874850.2580645164,6.612903225806452,8224610424.129032,2119351487.0,1036951303.8709677,656033172.1290323,1019743357.483871,1368533248.6774194,348384541.0322581,264584871.51612905,1049384081.2258065,361644361.1935484
가재울로6길,1000435,2017.6129032258063,2.5483870967741935,3667961.2580645164,7.32258064516129,9227453406.290323,2414206271.677419,1110874875.2903225,672049948.1935484,1201543614.1290324,1537780483.064516,334831634.83870965,279105136.9032258,1287416693.096774,389644749.0967742
가좌로7길,1000389,2017.6129032258063,2.5483870967741935,2907740.9032258065,6.225806451612903,10873159227.419355,2877818570.903226,1308265449.483871,773973325.548387,1436398624.3225806,1798090390.2258065,389994066.7741935,324411182.3548387,1503944593.6774194,460263024.12903225
갈현로1길,1000390,2017.6129032258063,2.5483870967741935,3277762.8387096776,6.741935483870968,10090357809.741936,2597866660.83871,1221636845.548387,720925054.451613,1314100418.7741935,1700922063.7419355,380387367.87096775,294046902.0967742,1435502195.064516,424970301.3548387
갈현로33길,1000391,2017.6129032258063,2.5483870967741935,3130944.4838709678,6.612903225806452,10640032889.64516,2712838916.2580647,1286787932.7741935,747984932.2580645,1357120990.516129,1787785306.3225806,392439342.2903226,309753869.6451613,1596360242.451613,448961357.12903225
갈현로41길,1000392,2017.6129032258063,2.5483870967741935,3017005.7741935486,6.548387096774194,10377617464.387096,2686617517.774194,1251619764.3548386,729311333.6774193,1341198939.548387,1723459909.580645,377640967.5483871,303547994.38709676,1524905008.0,439316029.516129
갈현로7길,1000393,2017.6129032258063,2.5483870967741935,3206141.7741935486,6.612903225806452,12070316712.096775,3053673772.516129,1464721744.7096775,864277596.3548387,1548973501.580645,2073143512.032258,451626928.8064516,350011480.9677419,1750270123.3548386,513618051.7741935
강남대로118길,1000886,2017.6129032258063,2.5483870967741935,3134246.3870967743,6.645161290322581,8422214016.258064,2079480276.7096775,1064231349.7096775,701858353.8709677,957616482.8064516,1462371281.2903225,342428697.7741935,280986100.32258064,1156375137.064516,376866336.7096774
강남대로136길,1000887,2017.6129032258063,2.5483870967741935,3905166.1612903224,7.645161290322581,7607852632.709678,1758998406.419355,972417716.2258065,613579271.5806452,863579202.7419355,1317063165.935484,339354747.2580645,238827246.61290324,1168855225.7096775,335177650.2258065
강남대로140길,1000888,2017.6129032258063,2.5483870967741935,4208847.483870967,8.0,4087614635.548387,937098580.2258065,523441807.32258064,328845568.83870965,468254266.1935484,715840178.8709677,186878655.51612905,125408932.16129032,622301785.1290323,179544861.29032257
강남대로23길,1000844,2017.6129032258063,2.5483870967741935,4465480.129032258,8.129032258064516,3078316789.580645,712601972.7741935,385416310.8064516,243397736.7419355,354981693.1935484,549425451.2580645,138886315.4516129,89846558.64516129,473996572.9677419,129764177.74193548
강남대로34길,1000845,2017.6129032258063,2.5483870967741935,4700725.548387097,8.612903225806452,6175812044.32258,1442792346.6451614,771003768.3548387,479008298.9677419,712947076.2258065,1090018296.1290324,269570614.87096775,181681377.77419356,967875417.548387,260914847.80645162
강남대로8길,1000846,2017.6129032258063,2.5483870967741935,3476822.709677419,7.0,5672911285.967742,1314691035.6451614,707449706.2258065,427365601.12903225,652468830.7096775,1007442595.7741935,245216967.83870968,164116836.5483871,914216256.548387,239943455.5483871
강동대로53길,1000967,2017.6129032258063,2.5483870967741935,3440479.6129032257,6.935483870967742,7548016263.064516,1851142727.580645,938624680.3870968,557792269.1935484,928444149.032258,1296043688.580645,329251721.12903225,218481034.5483871,1113182147.8709676,315053844.7419355
